Provinsi;2018;2019;2020;2021
Aceh;5;3;1;1
Sumatera Utara;1;2;4;2
Sumatera Barat;7;5;1;4
Riau;0;0;0;0
Jambi;1;1;0;0
Sumatera Selatan;0;0;0;0
Bengkulu;0;1;0;0
Lampung;0;0;0;0
Kepulauan Bangka Belitung;0;0;0;0
Kepulauan Riau;5;0;0;0
DKI Jakarta;0;0;0;0
Jawa Barat;2;1;2;0
Jawa Tengah;0;0;0;0
DI Yogyakarta;0;0;0;0
Jawa Timur;1;0;0;0
Banten;0;0;0;0
Bali;1;0;0;0
Nusa Tenggara Barat;0;0;0;0
Nusa Tenggara Timur;2;2;2;1
Kalimantan Barat;5;4;1;10
Kalimantan Tengah;0;3;4;4
Kalimantan Selatan;1;1;1;0
Kalimantan Timur;0;1;1;2
Kalimantan Utara;3;0;0;0
Sulawesi Utara;1;0;0;1
Sulawesi Tengah;0;2;0;8
Sulawesi Selatan;0;0;2;0
Sulawesi Tenggara;1;1;3;3
Gorontalo;0;0;0;0
Sulawesi Barat;1;1;0;0
Maluku;1;2;2;2
Maluku Utara;11;1;1;1
Papua Barat;9;1;5;1
Papua;25;7;18;20
